title,time,author,push_num,link
[請益] 大家如何介入和賣出？,10/28,s080014,34,https://www.ptt.cc/bbs/Stock/M.1698490028.A.15D.html
Re: [請益] 有關殖利率倒掛即將修復,10/28,chopinmozart,72,https://www.ptt.cc/bbs/Stock/M.1698495907.A.DCE.html
[新聞] 英特爾1.8奈米代工 搶到三客戶,10/29,payneblue,47,https://www.ptt.cc/bbs/Stock/M.1698516837.A.10A.html
Re: [請益] 有關殖利率倒掛即將修復,10/29,ceritawa,10,https://www.ptt.cc/bbs/Stock/M.1698540453.A.395.html
[新聞] 2010春源 永和中正橋委外包商凸槌 上百車毀容,10/29,kcg123,9,https://www.ptt.cc/bbs/Stock/M.1698545183.A.8A5.html
[新聞] 美銀行股股價搖搖欲墜 今年重挫29%,10/29,humbler,39,https://www.ptt.cc/bbs/Stock/M.1698545215.A.62D.html
Re: [新聞] 美銀行股股價搖搖欲墜 今年重挫29%,10/29,icemaydays,21,https://www.ptt.cc/bbs/Stock/M.1698546710.A.657.html
Re: [請益] 有關殖利率倒掛即將修復,10/29,kensmile,11,https://www.ptt.cc/bbs/Stock/M.1698547847.A.2B8.html
Re: [新聞] 美銀行股股價搖搖欲墜 今年重挫29%,10/29,waitrop,44,https://www.ptt.cc/bbs/Stock/M.1698550287.A.6BF.html
Re: [請益] 大家如何介入和賣出？,10/29,kriemh,3,https://www.ptt.cc/bbs/Stock/M.1698560743.A.1BB.html
Re: [請益] 大家如何介入和賣出？,10/29,AM903651,2,https://www.ptt.cc/bbs/Stock/M.1698564490.A.2CC.html
Re: [請益] 有關殖利率倒掛即將修復,10/29,ceritawa,3,https://www.ptt.cc/bbs/Stock/M.1698567948.A.729.html
Re: [請益] 為何不直接買美債 反而去買台股美債etf?,10/28,ligin,15,https://www.ptt.cc/bbs/Stock/M.1698451977.A.BE7.html
Re: [新聞] 李克強6年前會郭台銘，要他把鴻海全產業,10/28,jerrylin,62,https://www.ptt.cc/bbs/Stock/M.1698457900.A.F43.html
[請益] 海外期貨符合技術訊號自動提醒方法請益,10/28,olerudmis,10,https://www.ptt.cc/bbs/Stock/M.1698459246.A.AFF.html
[心得] 10/30~11/03 美股財報&經濟數據行事曆,10/28,EHacker,15,https://www.ptt.cc/bbs/Stock/M.1698461250.A.FF5.html
[新聞] 上市創新板再添生力軍 愛爾達科技遞件,10/28,LeMirage2000,24,https://www.ptt.cc/bbs/Stock/M.1698461576.A.7E1.html
[新聞] 力積電定日本宮城蓋晶片廠 日經:最快2026,10/28,DrowningPool,51,https://www.ptt.cc/bbs/Stock/M.1698462882.A.AA0.html
[請益] 為何美債是買ETF而不買原型,10/28,VVVV5555,65,https://www.ptt.cc/bbs/Stock/M.1698463193.A.D18.html
[標的] 聯發科 2454 四位數強力多,10/28,natyshow,30,https://www.ptt.cc/bbs/Stock/M.1698464156.A.E7F.html
[新聞] 一週熱門零股 鴻海 台灣50 買盤進場,10/28,ej03xu3,10,https://www.ptt.cc/bbs/Stock/M.1698465166.A.348.html
Re: [標的] 聯發科 2454 四位數強力多,10/28,dg0921,5,https://www.ptt.cc/bbs/Stock/M.1698474793.A.48A.html
Re: [請益] 為何不直接買美債 反而去買台股美債etf?,10/28,j955029000,10,https://www.ptt.cc/bbs/Stock/M.1698476760.A.945.html
[新聞] 華邦電跨足先進封裝 明年下半年小量生產,10/28,DrowningPool,18,https://www.ptt.cc/bbs/Stock/M.1698476863.A.98C.html
Re: [請益] 為何美債是買ETF而不買原型,10/28,chopinmozart,27,https://www.ptt.cc/bbs/Stock/M.1698477701.A.8B6.html
[請益] 可否請教這篇如何讓沒有經濟背景的人看懂,10/28,pennyleo,9,https://www.ptt.cc/bbs/Stock/M.1698479059.A.687.html
Re: [請益] 為何不直接買美債 反而去買台股美債etf?,10/28,Realism,19,https://www.ptt.cc/bbs/Stock/M.1698480266.A.82B.html
Re: [標的] 2618 長榮航 空,10/28,cmuse,13,https://www.ptt.cc/bbs/Stock/M.1698483544.A.36F.html
[請益] 有關殖利率倒掛即將修復,10/28,sphinxchiu,爆,https://www.ptt.cc/bbs/Stock/M.1698486930.A.927.html
Re: [請益] 股票投資跟賭博如何界定,10/27,A98454,6,https://www.ptt.cc/bbs/Stock/M.1698406005.A.EB9.html
[新聞] 張忠謀：美中脫鉤不利所有人 合作才能加,10/27,anti87,73,https://www.ptt.cc/bbs/Stock/M.1698407737.A.520.html
Re: [請益] 股票投資跟賭博如何界定,10/27,chopinmozart,7,https://www.ptt.cc/bbs/Stock/M.1698409325.A.77C.html
[新聞] 「沒想到幾天能賠上百萬」…連最狂分析師,10/27,ll65566,91,https://www.ptt.cc/bbs/Stock/M.1698410044.A.D8F.html
[情報] 1027 上市櫃外資投信買超金額排行,10/27,steveisaman,2,https://www.ptt.cc/bbs/Stock/M.1698411984.A.74B.html
[情報] 1027 上市櫃外資投信同買排行,10/27,steveisaman,0,https://www.ptt.cc/bbs/Stock/M.1698412610.A.702.html
Re: [新聞] 林本堅：美國難擋中國晶片進展,10/27,mangle,0,https://www.ptt.cc/bbs/Stock/M.1698413133.A.8C1.html
[請益] 為何不直接買美債 反而去買台股美債etf?,10/27,a111111,55,https://www.ptt.cc/bbs/Stock/M.1698414536.A.506.html
[請益] 加入投顧會員的人多嗎？,10/27,s80256s80256,36,https://www.ptt.cc/bbs/Stock/M.1698416014.A.9FD.html
[情報] 112年10月27日信用交易統計,10/27,steward135,19,https://www.ptt.cc/bbs/Stock/M.1698416165.A.19E.html
[新聞] 在中國房產和銀行業的投資巨虧 渣打股價,10/27,Su22,17,https://www.ptt.cc/bbs/Stock/M.1698416563.A.530.html
Re: [新聞] 「沒想到幾天能賠上百萬」…連最狂分析師,10/27,geniustu,36,https://www.ptt.cc/bbs/Stock/M.1698416781.A.FBF.html
[新聞] 福特因罷工影響取消財測、EV虧損擴大 盤,10/27,qwe22992168,32,https://www.ptt.cc/bbs/Stock/M.1698417429.A.F8C.html
Re: [新聞] 張忠謀：美中脫鉤不利所有人 合作才能加,10/27,Carr77,29,https://www.ptt.cc/bbs/Stock/M.1698417558.A.673.html
Re: [請益] 股票投資跟賭博如何界定,10/27,dg0921,5,https://www.ptt.cc/bbs/Stock/M.1698419469.A.25D.html
Re: [請益] 為何不直接買美債 反而去買台股美債etf?,10/27,justlink,38,https://www.ptt.cc/bbs/Stock/M.1698419826.A.537.html
Re: [新聞] 林本堅：美國難擋中國晶片進展,10/28,mjh,X1,https://www.ptt.cc/bbs/Stock/M.1698424438.A.D5A.html
[新聞] 李克強6年前會郭台銘，要他把鴻海全產業,10/28,qwe22992168,26,https://www.ptt.cc/bbs/Stock/M.1698424528.A.217.html
Re: [請益] 為何不直接買美債 反而去買台股美債etf?,10/28,neo22allen,12,https://www.ptt.cc/bbs/Stock/M.1698446957.A.362.html
[情報] 112年10月27日 三大法人買賣金額統計表,10/27,coconing,爆,https://www.ptt.cc/bbs/Stock/M.1698390297.A.747.html
[情報] SCFI 20231027 1012.6 +94.94(+10.35%),10/27,a069275235,40,https://www.ptt.cc/bbs/Stock/M.1698390558.A.27B.html
Re: [請益] 請教，因為目前不再寬鬆貨幣，關於美股,10/27,tompi,12,https://www.ptt.cc/bbs/Stock/M.1698390885.A.BB5.html
[新聞] 成熟製程的專家：聯電,10/27,enouch777,45,https://www.ptt.cc/bbs/Stock/M.1698391965.A.CC5.html
Re: [新聞] 林本堅：美國難擋中國晶片進展,10/27,Carr77,14,https://www.ptt.cc/bbs/Stock/M.1698394209.A.BEC.html
[情報] 1027 上市外資買賣超排行,10/27,saber50116,22,https://www.ptt.cc/bbs/Stock/M.1698394212.A.423.html
[新聞] 擺脫連10藍！9月出口轉正 景氣燈號轉為,10/27,kinki999,99,https://www.ptt.cc/bbs/Stock/M.1698394489.A.707.html
[新聞] 聯發科法說會 估Q4營收可望創五季新高,10/27,DrowningPool,21,https://www.ptt.cc/bbs/Stock/M.1698395411.A.86F.html
[情報] 3034 聯詠 Q3財報,10/27,MOMO0478,17,https://www.ptt.cc/bbs/Stock/M.1698397648.A.AE2.html
Re: [新聞] 擺脫連10藍！9月出口轉正 景氣燈號轉為,10/27,S9125126,10,https://www.ptt.cc/bbs/Stock/M.1698398038.A.22D.html
Re: [新聞] 林本堅：美國難擋中國晶片進展,10/27,win8719,10,https://www.ptt.cc/bbs/Stock/M.1698398186.A.1AA.html
[新聞] 想存股想到頭痛 上網跪求起點 2檔老大哥,10/27,ej03xu3,23,https://www.ptt.cc/bbs/Stock/M.1698398719.A.9ED.html
Re: [新聞] 新招！宏達電推《林襄沉浸式寫真》群,10/27,Sky77777777,7,https://www.ptt.cc/bbs/Stock/M.1698399139.A.EE1.html
[新聞] 華為手機晶片 爆使用ASML設備,10/27,kcbill,24,https://www.ptt.cc/bbs/Stock/M.1698402156.A.B4E.html
[情報] 2323 中環 處分高鐵普通股,10/27,q1a1,34,https://www.ptt.cc/bbs/Stock/M.1698402318.A.76E.html
[情報] 112/10/27 八大公股銀行買賣超排行,10/27,q1a1,6,https://www.ptt.cc/bbs/Stock/M.1698402866.A.1E7.html
[新聞] 信邦前3季每股賺11.21元寫新猷 全年再戰,10/27,doen78325,6,https://www.ptt.cc/bbs/Stock/M.1698403510.A.607.html
[情報] 2454聯發科112上半年股利24.6,10/27,village0817,25,https://www.ptt.cc/bbs/Stock/M.1698404001.A.70F.html
[新聞] 緯創印度廠確定售出！將以38.9億元賣給,10/27,freejordan,82,https://www.ptt.cc/bbs/Stock/M.1698404017.A.DEC.html
Re: [新聞] 想存股想到頭痛 上網跪求起點 2檔老大哥,10/27,lelena,5,https://www.ptt.cc/bbs/Stock/M.1698404237.A.AA5.html
[新聞] 撿便宜! 存股大軍狂敲高息ETF,10/27,ej03xu3,19,https://www.ptt.cc/bbs/Stock/M.1698373708.A.D7F.html
Re: [請益] 股票投資跟賭博如何界定,10/27,jeffguoft,10,https://www.ptt.cc/bbs/Stock/M.1698374447.A.CDB.html
[新聞] 台灣特斯拉突襲式降價六萬釀暴動 提早交,10/27,lulu1305174,爆,https://www.ptt.cc/bbs/Stock/M.1698374536.A.582.html
[標的] 8040 九暘神功多,10/27,uzgo,13,https://www.ptt.cc/bbs/Stock/M.1698374568.A.EEC.html
Re: [新聞] 資本撤出中國速度前所未有 大摩：不要抄,10/27,Carr77,40,https://www.ptt.cc/bbs/Stock/M.1698375734.A.829.html
[請益] 為什麼現在沒人討論金磚四國了,10/27,z010529,74,https://www.ptt.cc/bbs/Stock/M.1698376154.A.7CA.html
Re: [請益] 股票投資跟賭博如何界定,10/27,inewigkeit,14,https://www.ptt.cc/bbs/Stock/M.1698380251.A.6EF.html
Re: [請益] 股票投資跟賭博如何界定,10/27,callme5f,11,https://www.ptt.cc/bbs/Stock/M.1698381092.A.CD8.html
[新聞] 林本堅：美國難擋中國晶片進展,10/27,KotoriCute,54,https://www.ptt.cc/bbs/Stock/M.1698383491.A.ABA.html
Re: [請益] 股票投資跟賭博如何界定,10/27,waitrop,14,https://www.ptt.cc/bbs/Stock/M.1698384039.A.0A5.html
Re: [新聞] 新招！宏達電推《林襄沉浸式寫真》群眾集資計畫,10/27,bms,9,https://www.ptt.cc/bbs/Stock/M.1698385062.A.8A3.html
[情報] 3105穩懋 Q3 0.08,10/27,DrowningPool,56,https://www.ptt.cc/bbs/Stock/M.1698386370.A.881.html
[情報] 2344 華邦電 現金增資公開申購資訊,10/27,ej03xu3,20,https://www.ptt.cc/bbs/Stock/M.1698387088.A.8B3.html
[請益] 請教，因為目前不再寬鬆貨幣，關於美股,10/27,pennyleo,11,https://www.ptt.cc/bbs/Stock/M.1698387245.A.FE6.html
Re: [新聞] 新招！宏達電推《林襄沉浸式寫真》群眾集資計畫,10/27,dahlia7357,24,https://www.ptt.cc/bbs/Stock/M.1698387512.A.8A7.html
[新聞] 赫茲租賃車隊電動化計畫踩剎車,10/27,H2,6,https://www.ptt.cc/bbs/Stock/M.1698387884.A.20F.html
[標的] 2449京元電遮眼多,10/27,james0326123,28,https://www.ptt.cc/bbs/Stock/M.1698388289.A.567.html
[情報] 1027 上市投信買賣超排行,10/27,saber50116,34,https://www.ptt.cc/bbs/Stock/M.1698389466.A.63C.html
[新聞] 台股量縮上漲60點收復16100點 週線連2黑,10/27,nk11208z,13,https://www.ptt.cc/bbs/Stock/M.1698389782.A.57A.html
[情報] 1026 上市櫃外資投信買超金額排行,10/26,steveisaman,3,https://www.ptt.cc/bbs/Stock/M.1698322992.A.871.html
[情報] 1026 上市櫃外資投信同買排行,10/26,steveisaman,4,https://www.ptt.cc/bbs/Stock/M.1698323735.A.4D1.html
[標的] 6527明達醫,10/26,weeiio,6,https://www.ptt.cc/bbs/Stock/M.1698325332.A.4CF.html
[新聞] 美國第三季GDP初值報4.9% 高於預期,10/26,AnneofGreen,62,https://www.ptt.cc/bbs/Stock/M.1698326222.A.42A.html
[情報] 112年10月26日信用交易統計,10/26,steward135,37,https://www.ptt.cc/bbs/Stock/M.1698327197.A.3CD.html
[新聞] 美國房貸利率飆高至7.9％ 創23年新高,10/26,yipi1357,98,https://www.ptt.cc/bbs/Stock/M.1698328157.A.E32.html
[請益] 想請問關於公司間重要技術轉移的事宜,10/26,pennyleo,5,https://www.ptt.cc/bbs/Stock/M.1698328517.A.571.html
[新聞] 罷工40天後 福特與UAW工會達成協議未來4,10/26,z520314,42,https://www.ptt.cc/bbs/Stock/M.1698334359.A.0B5.html
[新聞] 資本撤出中國速度前所未有 大摩：不要抄,10/27,qwe22992168,88,https://www.ptt.cc/bbs/Stock/M.1698336385.A.A14.html
Re: [標的]3715定穎投控小心空,10/27,Ligamenta,24,https://www.ptt.cc/bbs/Stock/M.1698336678.A.129.html
Re: [標的] 2330 台積電 準備五線翻揚大多特多,10/27,kace111512,31,https://www.ptt.cc/bbs/Stock/M.1698338588.A.F21.html
[標的] 美國航空股 DAL.US LUV.US UAL.US AAL.US,10/27,TS28,16,https://www.ptt.cc/bbs/Stock/M.1698342827.A.8C8.html
[新聞] 內線交易借券放空鴻海套利？黃天牧：若有,10/27,DDDDRR,29,https://www.ptt.cc/bbs/Stock/M.1698364556.A.B87.html
[請益] 股票投資跟賭博如何界定,10/27,cake51640,67,https://www.ptt.cc/bbs/Stock/M.1698365901.A.9AD.html
Re: [請益] 想請問關於公司間重要技術轉移的事宜,10/27,deann,0,https://www.ptt.cc/bbs/Stock/M.1698366273.A.4B1.html
[新聞] 新招！宏達電推《林襄沉浸式寫真》群眾集資計畫,10/27,nodnarb1027,98,https://www.ptt.cc/bbs/Stock/M.1698367549.A.1DC.html
[心得] 投資投機跟賭博簡單區別,10/27,nissan168,34,https://www.ptt.cc/bbs/Stock/M.1698371693.A.1EA.html
Re: [新聞] 資本撤出中國速度前所未有 大摩：不要抄,10/27,win8719,6,https://www.ptt.cc/bbs/Stock/M.1698373038.A.1DA.html
[標的] 4552 力達-KY 估值不算貴的電機產業,10/27,roxiang,13,https://www.ptt.cc/bbs/Stock/M.1698373067.A.340.html
