Country Name,Country Code,Indicator Name,Code,1980,2000,2020,2021
Aruba,ABW,"Life expectancy at birth, total (years)",AM,71.066,73.569,75.723,74.626
Afghanistan,AFG,"Life expectancy at birth, total (years)",AS,39.618,55.298,62.575,61.982
Angola,AGO,"Life expectancy at birth, total (years)",AF,42.449,46.024,62.261,61.643
Albania,ALB,"Life expectancy at birth, total (years)",EU,70.478,75.404,76.989,76.463
Arab World,ARB,"Life expectancy at birth, total (years)",AS,57.30237239,67.29733126,70.92335959,70.81448302
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",AS,68.53,74.38,78.946,78.71
Argentina,ARG,"Life expectancy at birth, total (years)",AM,68.564,73.926,75.892,75.39
Armenia,ARM,"Life expectancy at birth, total (years)",AS,66.177,70.624,72.173,72.043
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",AM,73.183,74.606,78.841,78.497
Australia,AUS,"Life expectancy at birth, total (years)",OC,74.33365854,79.23414634,83.2,83.3
Austria,AUT,"Life expectancy at birth, total (years)",EU,72.46341463,78.12682927,81.19268293,81.23902439
Azerbaijan,AZE,"Life expectancy at birth, total (years)",AS,61.081,64.891,66.868,69.366
Burundi,BDI,"Life expectancy at birth, total (years)",AF,45.406,47.514,61.566,61.663
Belgium,BEL,"Life expectancy at birth, total (years)",EU,73.20707317,77.72195122,80.69512195,81.8902439
Benin,BEN,"Life expectancy at birth, total (years)",AF,47.877,56.578,60.088,59.821
Burkina Faso,BFA,"Life expectancy at birth, total (years)",AF,46.539,50.847,59.731,59.27
Bangladesh,BGD,"Life expectancy at birth, total (years)",AS,51.85,65.779,71.968,72.381
Bulgaria,BGR,"Life expectancy at birth, total (years)",EU,71.15756098,71.66341463,73.65853659,71.51463415
Bahrain,BHR,"Life expectancy at birth, total (years)",AS,70.826,75.496,79.174,78.76
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",AM,67.521,72.041,72.677,71.598
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",EU,70.543,74.496,76.225,75.3
Belarus,BLR,"Life expectancy at birth, total (years)",EU,69.92770732,68.91219512,72.45721951,72.37068293
Belize,BLZ,"Life expectancy at birth, total (years)",AM,67.756,68.564,72.854,70.47
Bermuda,BMU,"Life expectancy at birth, total (years)",AM,73.454,78.858,81.136,79.28
Bolivia,BOL,"Life expectancy at birth, total (years)",AM,51.181,62.346,64.467,63.63
Brazil,BRA,"Life expectancy at birth, total (years)",AM,61.781,69.737,74.009,72.75
Barbados,BRB,"Life expectancy at birth, total (years)",AM,71.921,74.089,77.393,77.571
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",AS,69.246,74.08,74.795,74.642
Bhutan,BTN,"Life expectancy at birth, total (years)",AS,48.218,62.01,71.609,71.815
Botswana,BWA,"Life expectancy at birth, total (years)",AF,60.646,51.011,65.647,61.141
Central African Republic,CAF,"Life expectancy at birth, total (years)",AF,49.889,45.406,54.604,53.895
Canada,CAN,"Life expectancy at birth, total (years)",AM,75.10219512,79.16682927,81.6704878,82.59660976
Switzerland,CHE,"Life expectancy at birth, total (years)",EU,75.45926829,79.6804878,83,83.85121951
Chile,CHL,"Life expectancy at birth, total (years)",AM,68.84,76.87,79.377,78.944
China,CHN,"Life expectancy at birth, total (years)",AS,64.42,71.881,78.077,78.211
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",AF,52.27,50.842,59.032,58.598
Cameroon,CMR,"Life expectancy at birth, total (years)",AF,51.041,52.932,60.833,60.333
"Congo, Rep.",COG,"Life expectancy at birth, total (years)",AF,56.593,53.682,63.785,63.519
Colombia,COL,"Life expectancy at birth, total (years)",AM,66.868,71.32,74.769,72.83
Comoros,COM,"Life expectancy at birth, total (years)",AF,50.8,58.757,64.166,63.417
Cabo Verde,CPV,"Life expectancy at birth, total (years)",AF,61.368,68.618,74.808,74.052
Costa Rica,CRI,"Life expectancy at birth, total (years)",AM,72.899,77.586,79.277,77.023
Cuba,CUB,"Life expectancy at birth, total (years)",AM,72.752,76.183,77.567,73.683
Cyprus,CYP,"Life expectancy at birth, total (years)",AS,71.95,76.568,81.391,81.203
Czechia,CZE,"Life expectancy at birth, total (years)",EU,70.27804878,74.96829268,78.22682927,77.37317073
Germany,DEU,"Life expectancy at birth, total (years)",,72.80031707,77.92682927,81.04146341,80.90097561
Djibouti,DJI,"Life expectancy at birth, total (years)",,51.947,56.573,62.694,62.305
Dominica,DMA,"Life expectancy at birth, total (years)",,71.782,72.693,73.649,72.814
Denmark,DNK,"Life expectancy at birth, total (years)",,74.10170732,76.59268293,81.60243902,81.40487805
Dominican Republic,DOM,"Life expectancy at birth, total (years)",,61.754,69.423,72.889,72.615
Algeria,DZA,"Life expectancy at birth, total (years)",,53.261,70.478,74.453,76.377
East Asia & Pacific (excluding high income),EAP,"Life expectancy at birth, total (years)",,63.43860952,70.5648357,75.93602464,75.5432913
Early-demographic dividend,EAR,"Life expectancy at birth, total (years)",,56.11721526,64.49925708,70.02998828,68.46740583
East Asia & Pacific,EAS,"Life expectancy at birth, total (years)",,64.71696596,71.55256983,76.76194199,76.39391116
Ecuador,ECU,"Life expectancy at birth, total (years)",,63.191,72.839,72.153,73.67
"Egypt, Arab Rep.",EGY,"Life expectancy at birth, total (years)",,56.628,68.007,70.99,70.221
Eritrea,ERI,"Life expectancy at birth, total (years)",,44.585,56.111,67.133,66.536
Spain,ESP,"Life expectancy at birth, total (years)",,75.34926829,78.96585366,82.33170732,83.17804878
Estonia,EST,"Life expectancy at birth, total (years)",,68.79563415,70.41707317,78.59512195,76.74146341
Ethiopia,ETH,"Life expectancy at birth, total (years)",,43.217,50.538,65.371,64.975
European Union,EUU,"Life expectancy at birth, total (years)",,72.78960622,77.07531688,80.45209305,80.38730785
Fragile and conflict affected situations,FCS,"Life expectancy at birth, total (years)",,52.07331854,55.50590381,61.76175891,61.25279539
Finland,FIN,"Life expectancy at birth, total (years)",,73.44,77.46585366,81.93170732,81.93414634
Fiji,FJI,"Life expectancy at birth, total (years)",,62.734,66.31,67.924,67.114
France,FRA,"Life expectancy at birth, total (years)",,74.05121951,79.05609756,82.17560976,82.32439024
"Micronesia, Fed. Sts.",FSM,"Life expectancy at birth, total (years)",,64.212,69.769,70.674,70.71
Gabon,GAB,"Life expectancy at birth, total (years)",,57.454,61.069,66.531,65.821
United Kingdom,GBR,"Life expectancy at birth, total (years)",,73.67560976,77.74146341,80.35121951,80.7
Georgia,GEO,"Life expectancy at birth, total (years)",,67.173,69.575,72.765,71.694
Ghana,GHA,"Life expectancy at birth, total (years)",,51.117,58.195,64.114,63.795
Gibraltar,GIB,"Life expectancy at birth, total (years)",,73.753,81.37,82.198,79.329
Guinea,GIN,"Life expectancy at birth, total (years)",,42.884,52.479,59.327,58.892
"Gambia, The",GMB,"Life expectancy at birth, total (years)",,45.153,56.942,62.612,62.083
Guinea-Bissau,GNB,"Life expectancy at birth, total (years)",,43.754,50.121,59.999,59.652
Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",,47.563,53.226,60.708,60.594
Greece,GRC,"Life expectancy at birth, total (years)",,74.54626829,77.88780488,81.28780488,80.18292683
Grenada,GRD,"Life expectancy at birth, total (years)",,68.144,72.783,74.924,74.936
Guatemala,GTM,"Life expectancy at birth, total (years)",,56.024,67.446,71.797,69.237
Guam,GUM,"Life expectancy at birth, total (years)",,69.861,74.417,76.612,76.656
Guyana,GUY,"Life expectancy at birth, total (years)",,61.229,64.483,68.486,65.673
High income,HIC,"Life expectancy at birth, total (years)",,73.07355781,77.4502089,80.08088128,79.92383024
"Hong Kong SAR, China",HKG,"Life expectancy at birth, total (years)",,74.67317073,80.87804878,85.49756098,85.49268293
Honduras,HND,"Life expectancy at birth, total (years)",,60.485,68.662,71.462,70.123
Heavily indebted poor countries (HIPC),HPC,"Life expectancy at birth, total (years)",,47.21472563,52.66175412,62.76172018,62.3027854
Croatia,HRV,"Life expectancy at birth, total (years)",,70.17536585,72.80780488,77.72439024,76.42439024
Haiti,HTI,"Life expectancy at birth, total (years)",,49.902,58.365,64.052,63.192
Hungary,HUN,"Life expectancy at birth, total (years)",,69.06170732,71.24634146,75.56829268,74.46585366
Indonesia,IDN,"Life expectancy at birth, total (years)",,58.754,66.433,68.808,67.57
Isle of Man,IMN,"Life expectancy at birth, total (years)",,68.304,74.725,80.588,80.525
India,IND,"Life expectancy at birth, total (years)",,53.611,62.669,70.15,67.24
Ireland,IRL,"Life expectancy at birth, total (years)",,72.59541463,76.53658537,82.55609756,82.10243902
"Iran, Islamic Rep.",IRN,"Life expectancy at birth, total (years)",,58.537,69.691,74.832,73.875
Iraq,IRQ,"Life expectancy at birth, total (years)",,61.5,66.817,69.123,70.378
Iceland,ISL,"Life expectancy at birth, total (years)",,76.84658537,79.65365854,83.06341463,83.11707317
Israel,ISR,"Life expectancy at birth, total (years)",,73.87560976,78.95365854,82.64878049,82.5
Italy,ITA,"Life expectancy at birth, total (years)",EU,73.94317073,79.77804878,82.19512195,82.79512195
Jamaica,JAM,"Life expectancy at birth, total (years)",,69.435,70.944,71.869,70.5
Jordan,JOR,"Life expectancy at birth, total (years)",,66.259,71.918,75.184,74.256
Japan,JPN,"Life expectancy at birth, total (years)",AS,75.98902439,81.07609756,84.56,84.44560976
Kazakhstan,KAZ,"Life expectancy at birth, total (years)",,66.62439024,65.45,71.37,70.23
Kenya,KEN,"Life expectancy at birth, total (years)",,58.501,54.411,62.675,61.427
Kyrgyz Republic,KGZ,"Life expectancy at birth, total (years)",,61.08146341,68.55853659,71.8,71.9
Cambodia,KHM,"Life expectancy at birth, total (years)",,47.57,58.625,70.416,69.584
Kiribati,KIR,"Life expectancy at birth, total (years)",,57.286,64.409,67.266,67.417
St. Kitts and Nevis,KNA,"Life expectancy at birth, total (years)",,63.358,69.781,71.627,71.682
"Korea, Rep.",KOR,"Life expectancy at birth, total (years)",AS,66.04634146,75.9097561,83.42682927,83.52682927
Kuwait,KWT,"Life expectancy at birth, total (years)",,70.341,76.722,76.92,78.673
Latin America & Caribbean (excluding high income),LAC,"Life expectancy at birth, total (years)",,63.04861354,70.90651245,72.83630332,71.90735614
Lao PDR,LAO,"Life expectancy at birth, total (years)",,48.082,58.378,68.497,68.061
Lebanon,LBN,"Life expectancy at birth, total (years)",,59.665,73.931,77.804,75.047
Liberia,LBR,"Life expectancy at birth, total (years)",,44.631,51.356,60.948,60.747
Libya,LBY,"Life expectancy at birth, total (years)",AS,64.891,70.68,72.472,71.911
St. Lucia,LCA,"Life expectancy at birth, total (years)",,67.7,70.768,73.416,71.111
Latin America & Caribbean,LCN,"Life expectancy at birth, total (years)",,63.68616318,71.22843627,73.03847417,72.14743483
Least developed countries: UN classification,LDC,"Life expectancy at birth, total (years)",,48.08742768,55.79280181,64.63474279,64.2158675
Low income,LIC,"Life expectancy at birth, total (years)",,47.7053385,53.21481249,62.95453254,62.49610951
Sri Lanka,LKA,"Life expectancy at birth, total (years)",,68.661,70.355,76.393,76.399
Lesotho,LSO,"Life expectancy at birth, total (years)",,56.058,48.427,54.693,53.062
Late-demographic dividend,LTE,"Life expectancy at birth, total (years)",,64.87618801,71.07867529,76.72290889,76.34211268
Lithuania,LTU,"Life expectancy at birth, total (years)",,70.48219512,72.0195122,74.97804878,74.33902439
Luxembourg,LUX,"Life expectancy at birth, total (years)",,72.20680488,77.87317073,82.14390244,82.74878049
Latvia,LVA,"Life expectancy at birth, total (years)",,68.80853659,70.31463415,75.18536585,73.28292683
"Macao SAR, China",MAC,"Life expectancy at birth, total (years)",,73.504,80.959,85.184,85.399
St. Martin (French part),MAF,"Life expectancy at birth, total (years)",,72.487,76.663,80.149,80.379
Morocco,MAR,"Life expectancy at birth, total (years)",AF,55.219,66.787,73.92,74.042
Moldova,MDA,"Life expectancy at birth, total (years)",,65.173,66.417,70.166,68.846
Madagascar,MDG,"Life expectancy at birth, total (years)",,49.821,57.938,65.182,64.485
Maldives,MDV,"Life expectancy at birth, total (years)",,55.621,70.876,79.875,79.918
Middle East & North Africa,MEA,"Life expectancy at birth, total (years)",,58.57100609,69.28217807,72.94976833,72.74592079
Mexico,MEX,"Life expectancy at birth, total (years)",,64.703,73.569,70.133,70.213
Marshall Islands,MHL,"Life expectancy at birth, total (years)",,61.015,63.275,64.977,65.269
Middle income,MIC,"Life expectancy at birth, total (years)",,60.01216103,66.55323482,71.64918695,70.55329121
North Macedonia,MKD,"Life expectancy at birth, total (years)",,69.24712195,72.94634146,74.39512195,74.53682927
Mali,MLI,"Life expectancy at birth, total (years)",,40.751,50.539,58.633,58.941
Malta,MLT,"Life expectancy at birth, total (years)",,72.039,78.34878049,82.34878049,82.86097561
Myanmar,MMR,"Life expectancy at birth, total (years)",,54.362,60.155,66.797,65.672
Middle East & North Africa (excluding high income),MNA,"Life expectancy at birth, total (years)",,57.71709364,68.64149747,72.172697,71.89987573
Montenegro,MNE,"Life expectancy at birth, total (years)",,71.60912195,73.8184878,75.93170732,73.82439024
Mongolia,MNG,"Life expectancy at birth, total (years)",,55.64,62.882,72.141,70.975
Mozambique,MOZ,"Life expectancy at birth, total (years)",,42.801,49.491,61.172,59.325
Mauritania,MRT,"Life expectancy at birth, total (years)",,55.061,61.028,64.532,64.364
Mauritius,MUS,"Life expectancy at birth, total (years)",,65.8164878,71.66341463,74.17707317,73.6802439
Malawi,MWI,"Life expectancy at birth, total (years)",AF,45.094,44.518,63.717,62.904
Malaysia,MYS,"Life expectancy at birth, total (years)",AS,68.245,72.775,75.938,74.884
North America,NAC,"Life expectancy at birth, total (years)",AM,73.75503132,76.88515443,77.46351685,76.97672317
Namibia,NAM,"Life expectancy at birth, total (years)",,56.775,51.99,62.829,59.269
New Caledonia,NCL,"Life expectancy at birth, total (years)",OC,66.5695122,75.16341463,80.83495122,79.12734146
Niger,NER,"Life expectancy at birth, total (years)",,39.678,49.322,61.451,61.576
Nigeria,NGA,"Life expectancy at birth, total (years)",,46.349,47.193,52.887,52.676
Nicaragua,NIC,"Life expectancy at birth, total (years)",,57.914,67.234,71.795,73.837
Netherlands,NLD,"Life expectancy at birth, total (years)",,75.74317073,77.98780488,81.35853659,81.46097561
Norway,NOR,"Life expectancy at birth, total (years)",,75.67170732,78.63414634,83.2097561,83.16341463
Nepal,NPL,"Life expectancy at birth, total (years)",,47.889,62.614,69.246,68.45
Nauru,NRU,"Life expectancy at birth, total (years)",,61.552,58.732,63.437,63.617
New Zealand,NZL,"Life expectancy at birth, total (years)",OC,72.82926829,78.63658537,82.25609756,82.20731707
Oman,OMN,"Life expectancy at birth, total (years)",AS,60.447,73.466,74.757,72.541
Pakistan,PAK,"Life expectancy at birth, total (years)",AS,57.606,62.102,66.269,66.098
Panama,PAN,"Life expectancy at birth, total (years)",,69.254,74.001,76.657,76.223
Peru,PER,"Life expectancy at birth, total (years)",AM,59.589,70.424,73.665,72.377
Philippines,PHL,"Life expectancy at birth, total (years)",AS,62.499,69.413,72.119,69.266
Papua New Guinea,PNG,"Life expectancy at birth, total (years)",OC,57.435,61.72,65.787,65.351
Poland,POL,"Life expectancy at birth, total (years)",EU,70.09756098,73.74878049,76.5,75.60243902
Pre-demographic dividend,PRE,"Life expectancy at birth, total (years)",,47.77564171,51.473936,60.24953184,59.87258063
Puerto Rico,PRI,"Life expectancy at birth, total (years)",,73.226,75.977,78.041,80.162
Portugal,PRT,"Life expectancy at birth, total (years)",,71.21463415,76.31463415,80.97560976,81.07317073
Paraguay,PRY,"Life expectancy at birth, total (years)",,64.749,69.75,73.182,70.262
Pacific island small states,PSS,"Life expectancy at birth, total (years)",,62.84997628,67.30394873,69.3649211,69.16359418
Post-demographic dividend,PST,"Life expectancy at birth, total (years)",,73.24657875,77.34938363,80.00447533,79.79789054
French Polynesia,PYF,"Life expectancy at birth, total (years)",,67.14,79.536,82.217,79.486
Qatar,QAT,"Life expectancy at birth, total (years)",,70.801,74.828,79.099,79.272
Romania,ROU,"Life expectancy at birth, total (years)",,69.09097561,71.16341463,74.25365854,72.96097561
Russian Federation,RUS,"Life expectancy at birth, total (years)",AS,67.03390244,65.48365854,71.33878049,69.36121951
Rwanda,RWA,"Life expectancy at birth, total (years)",AF,47.963,47.129,66.774,66.072
Saudi Arabia,SAU,"Life expectancy at birth, total (years)",AS,62.698,72.467,76.239,76.936
Sudan,SDN,"Life expectancy at birth, total (years)",AF,53.934,58.319,65.614,65.267
Senegal,SEN,"Life expectancy at birth, total (years)",AF,49.142,56.943,68.006,67.093
Singapore,SGP,"Life expectancy at birth, total (years)",AS,72.1902439,77.95121951,84.46585366,83.44146341
Solomon Islands,SLB,"Life expectancy at birth, total (years)",OS,62.8,67.225,70.199,70.348
Sierra Leone,SLE,"Life expectancy at birth, total (years)",AF,43.13,45.05,59.763,60.062
El Salvador,SLV,"Life expectancy at birth, total (years)",AM,47.975,69.865,71.061,70.748
Somalia,SOM,"Life expectancy at birth, total (years)",AF,47.489,50.66,55.967,55.28
Serbia,SRB,"Life expectancy at birth, total (years)",EU,68.79063415,71.58292683,74.47804878,72.73073171
South Sudan,SSD,"Life expectancy at birth, total (years)",AF,38.417,46.028,55.48,54.975
Sao Tome and Principe,STP,"Life expectancy at birth, total (years)",AF,59.739,61.655,67.785,67.591
Suriname,SUR,"Life expectancy at birth, total (years)",AM,62.034,65.508,72.561,70.274
Slovak Republic,SVK,"Life expectancy at birth, total (years)",EU,70.40853659,73.05121951,76.86585366,74.71463415
Slovenia,SVN,"Life expectancy at birth, total (years)",EU,71.10487805,75.41219512,80.53170732,80.87560976
Sweden,SWE,"Life expectancy at birth, total (years)",EU,75.74097561,79.64390244,82.35609756,83.15609756
Eswatini,SWZ,"Life expectancy at birth, total (years)",AF,57.846,47.256,59.692,57.066
Sint Maarten (Dutch part),SXM,"Life expectancy at birth, total (years)",AM,70.918,74.514,74.584,73.972
Syrian Arab Republic,SYR,"Life expectancy at birth, total (years)",AS,66.351,70.764,72.14,72.063
Turks and Caicos Islands,TCA,"Life expectancy at birth, total (years)",AM,68.699,73.575,75.001,74.587
Chad,TCD,"Life expectancy at birth, total (years)",AF,43.06,47.443,52.777,52.525
Togo,TGO,"Life expectancy at birth, total (years)",AF,51.227,54.742,61.035,61.619
Thailand,THA,"Life expectancy at birth, total (years)",AS,64.012,72.316,79.274,78.715
Tajikistan,TJK,"Life expectancy at birth, total (years)",AS,59.506,63.26,67.994,71.594
Turkmenistan,TKM,"Life expectancy at birth, total (years)",AS,61.022,65.026,68.687,69.264
Timor-Leste,TLS,"Life expectancy at birth, total (years)",OC,28.446,58.568,68.475,67.737
Tonga,TON,"Life expectancy at birth, total (years)",OC,65.961,68.978,70.928,70.986
Trinidad and Tobago,TTO,"Life expectancy at birth, total (years)",AM,67.572,69.102,74.406,72.971
Tunisia,TUN,"Life expectancy at birth, total (years)",AF,63.975,73.69,75.292,73.772
Turkiye,TUR,"Life expectancy at birth, total (years)",AS,62.504,71.861,75.85,76.032
Tuvalu,TUV,"Life expectancy at birth, total (years)",OC,60.833,63.499,64.382,64.547
Tanzania,TZA,"Life expectancy at birth, total (years)",AF,51.201,52.362,66.408,66.201
Uganda,UGA,"Life expectancy at birth, total (years)",AF,42.949,48.342,62.851,62.705
Ukraine,UKR,"Life expectancy at birth, total (years)",EU,68.33017073,67.67560976,71.18512195,69.64780488
Uruguay,URY,"Life expectancy at birth, total (years)",AM,70.582,75.025,78.43,75.436
United States,USA,"Life expectancy at birth, total (years)",AM,73.6097561,76.63658537,76.9804878,76.32926829
Uzbekistan,UZB,"Life expectancy at birth, total (years)",AS,63.036,65.724,70.331,70.862
St. Vincent and the Grenadines,VCT,"Life expectancy at birth, total (years)",AM,70.184,71.377,72.126,69.629
"Venezuela, RB",VEN,"Life expectancy at birth, total (years)",AM,68.762,72.478,71.095,70.554
British Virgin Islands,VGB,"Life expectancy at birth, total (years)",AM,67.715,73.966,75.849,74.494
Virgin Islands (U.S.),VIR,"Life expectancy at birth, total (years)",AM,68.52914634,76.6195122,79.8195122,80.06829268
Vietnam,VNM,"Life expectancy at birth, total (years)",AS,66.195,72.462,75.378,73.618
Vanuatu,VUT,"Life expectancy at birth, total (years)",OC,61.083,68.966,70.299,70.449
World,WLD,"Life expectancy at birth, total (years)",WD,62.23355552,67.7004017,72.24382211,71.32739068
Samoa,WSM,"Life expectancy at birth, total (years)",OC,64.748,70.746,72.768,72.767
Kosovo,XKX,"Life expectancy at birth, total (years)",EU,67.685,74.072,76.567,76.806
"Yemen, Rep.",YEM,"Life expectancy at birth, total (years)",AS,50.654,62.588,64.65,63.753
South Africa,ZAF,"Life expectancy at birth, total (years)",AF,59.813,58.47,65.252,62.341
Zambia,ZMB,"Life expectancy at birth, total (years)",AF,54.143,45.231,62.38,61.223
Zimbabwe,ZWE,"Life expectancy at birth, total (years)",AF,58.674,44.686,61.124,59.253
